city,state_id,lat,lng,timezone,city_state
Luke,MD,39.4766,-79.0593,America/New_York,"Luke, MD"
Bentley,OK,34.2174,-96.0797,America/Chicago,"Bentley, OK"
Los Cerrillos,NM,35.4272,-106.1212,America/Denver,"Los Cerrillos, NM"
Marietta,TX,33.1735,-94.5425,America/Chicago,"Marietta, TX"
Costilla,NM,36.9786,-105.5353,America/Denver,"Costilla, NM"
Chuathbaluk,AK,61.5746,-159.2489,America/Anchorage,"Chuathbaluk, AK"
Chelsea,WI,45.2927,-90.3054,America/Chicago,"Chelsea, WI"
Fort Ransom,ND,46.5244,-97.931,America/Chicago,"Fort Ransom, ND"
Grace City,ND,47.5513,-98.8039,America/Chicago,"Grace City, ND"
Oklaunion,TX,34.1294,-99.1443,America/Chicago,"Oklaunion, TX"
Vail,PA,40.7011,-78.2139,America/New_York,"Vail, PA"
Henry,NE,41.9980,-104.0461,America/Denver,"Henry, NE"
Landess,IN,40.6126,-85.5592,America/Indiana/Indianapolis,"Landess, IN"
Big Arm,MT,47.7936,-114.2701,America/Denver,"Big Arm, MT"
South Lead Hill,AR,36.3956,-92.9063,America/Chicago,"South Lead Hill, AR"
Allport,AR,34.5399,-91.7839,America/Chicago,"Allport, AR"
Fair Oaks,OK,36.1611,-95.691,America/Chicago,"Fair Oaks, OK"
Camas,MT,47.6179,-114.6561,America/Denver,"Camas, MT"
Silver Star,MT,45.6875,-112.285,America/Denver,"Silver Star, MT"
Burnt Prairie,IL,38.2509,-88.2585,America/Chicago,"Burnt Prairie, IL"
Mount Moriah,MO,40.3293,-93.7971,America/Chicago,"Mount Moriah, MO"
Rockingham,GA,31.5441,-82.4145,America/New_York,"Rockingham, GA"
Wilburn,AR,35.5087,-91.8884,America/Chicago,"Wilburn, AR"
Blackburn,OK,36.3731,-96.5965,America/Chicago,"Blackburn, OK"
Powhattan,KS,39.7619,-95.6342,America/Chicago,"Powhattan, KS"
Emington,IL,40.9693,-88.3578,America/Chicago,"Emington, IL"
Petronila,TX,27.6713,-97.6322,America/Chicago,"Petronila, TX"
Siasconset,MA,41.2636,-69.9718,America/New_York,"Siasconset, MA"
Antimony,UT,38.1030,-111.9823,America/Denver,"Antimony, UT"
Pattison,MS,31.8908,-90.8839,America/Chicago,"Pattison, MS"
Slate Springs,MS,33.7417,-89.3752,America/Chicago,"Slate Springs, MS"
Lund,NV,38.8642,-115.0099,America/Los_Angeles,"Lund, NV"
Jackson Junction,IA,43.1014,-92.0462,America/Chicago,"Jackson Junction, IA"
Wardsboro,VT,43.0435,-72.7889,America/New_York,"Wardsboro, VT"
Woodlawn Heights,IN,40.1184,-85.6968,America/Indiana/Indianapolis,"Woodlawn Heights, IN"
Warwick,ND,47.8547,-98.7056,America/Chicago,"Warwick, ND"
Cornucopia,WI,46.8566,-91.1082,America/Chicago,"Cornucopia, WI"
Steinauer,NE,40.2073,-96.2329,America/Chicago,"Steinauer, NE"
Rulo,NE,40.0518,-95.4301,America/Chicago,"Rulo, NE"
Golva,ND,46.7347,-103.9829,America/Denver,"Golva, ND"
Nondalton,AK,59.9711,-154.8627,America/Anchorage,"Nondalton, AK"
Alleene,AR,33.7648,-94.2622,America/Chicago,"Alleene, AR"
Casmalia,CA,34.8378,-120.5309,America/Los_Angeles,"Casmalia, CA"
Beaver,AK,66.3830,-147.3219,America/Anchorage,"Beaver, AK"
Englewood,KS,37.0405,-99.9876,America/Chicago,"Englewood, KS"
Tennessee,IL,40.4114,-90.8363,America/Chicago,"Tennessee, IL"
Butte,ND,47.8370,-100.6658,America/Chicago,"Butte, ND"
Filley,NE,40.2851,-96.5339,America/Chicago,"Filley, NE"
Lithium,MO,37.8322,-89.8832,America/Chicago,"Lithium, MO"
Lucien,OK,36.2747,-97.4551,America/Chicago,"Lucien, OK"
Hungerford,TX,29.4040,-96.0837,America/Chicago,"Hungerford, TX"
Vernonburg,GA,31.9637,-81.1259,America/New_York,"Vernonburg, GA"
Blodgett Landing,NH,43.3757,-72.0392,America/New_York,"Blodgett Landing, NH"
Maverick Mountain,MT,45.4182,-113.1109,America/Denver,"Maverick Mountain, MT"
La Grande,WA,46.8199,-122.2962,America/Los_Angeles,"La Grande, WA"
Silver Gate,MT,45.0198,-109.9829,America/Denver,"Silver Gate, MT"
Furnace Creek,CA,36.4277,-116.8747,America/Los_Angeles,"Furnace Creek, CA"
El Dara,IL,39.6227,-90.9917,America/Chicago,"El Dara, IL"
Long Barn,CA,38.0957,-120.1285,America/Los_Angeles,"Long Barn, CA"
Smithville,OK,34.4689,-94.6461,America/Chicago,"Smithville, OK"
Garrison,MT,46.5259,-112.8205,America/Denver,"Garrison, MT"
Proctor,TX,31.9867,-98.4304,America/Chicago,"Proctor, TX"
Ozan,AR,33.8480,-93.7203,America/Chicago,"Ozan, AR"
Reubens,ID,46.3229,-116.5429,America/Los_Angeles,"Reubens, ID"
Wingate,TX,32.0455,-100.104,America/Chicago,"Wingate, TX"
Orin,WY,42.6505,-105.1826,America/Denver,"Orin, WY"
Cokedale,CO,37.1444,-104.6216,America/Denver,"Cokedale, CO"
Vivian,SD,43.9273,-100.3011,America/Chicago,"Vivian, SD"
Opal,WY,41.7680,-110.3242,America/Denver,"Opal, WY"
New Bavaria,OH,41.2037,-84.1674,America/New_York,"New Bavaria, OH"
Toco,TX,33.6539,-95.6492,America/Chicago,"Toco, TX"
Blandville,KY,36.9441,-88.9646,America/Chicago,"Blandville, KY"
Wiota,IA,41.4007,-94.8872,America/Chicago,"Wiota, IA"
Sanford,VA,37.9299,-75.662,America/New_York,"Sanford, VA"
Mooresville,AL,34.6257,-86.8802,America/Chicago,"Mooresville, AL"
Whitharral,TX,33.7391,-102.3278,America/Chicago,"Whitharral, TX"
Downey,IA,41.6120,-91.3472,America/Chicago,"Downey, IA"
North Westminster,VT,43.1219,-72.4554,America/New_York,"North Westminster, VT"
West Chester,IA,41.3400,-91.8169,America/Chicago,"West Chester, IA"
Crows Nest,IN,39.8566,-86.1691,America/Indiana/Indianapolis,"Crows Nest, IN"
Baileyville,PA,40.7110,-77.9924,America/New_York,"Baileyville, PA"
Climbing Hill,IA,42.3394,-96.0811,America/Chicago,"Climbing Hill, IA"
Salesville,OH,39.9742,-81.3365,America/New_York,"Salesville, OH"
Lake City,CA,41.6460,-120.2255,America/Los_Angeles,"Lake City, CA"
Hickory Valley,TN,35.1550,-89.126,America/Chicago,"Hickory Valley, TN"
Twin Lakes,OK,35.8679,-97.6653,America/Chicago,"Twin Lakes, OK"
Pompeys Pillar,MT,45.9906,-107.9504,America/Denver,"Pompeys Pillar, MT"
Hibernia,NJ,40.9423,-74.5011,America/New_York,"Hibernia, NJ"
Fowler,IL,40.0088,-91.2578,America/Chicago,"Fowler, IL"
Lake Henry,MN,45.4620,-94.7965,America/Chicago,"Lake Henry, MN"
St. Clement,MO,39.2829,-91.2098,America/Chicago,"St. Clement, MO"
Bingham,IL,39.1122,-89.2137,America/Chicago,"Bingham, IL"
Weeksville,MT,47.5309,-115.0083,America/Denver,"Weeksville, MT"
Montpelier,ND,46.6987,-98.5884,America/Chicago,"Montpelier, ND"
Maple City,MI,44.8556,-85.8573,America/Detroit,"Maple City, MI"
Stafford,OH,39.7124,-81.2766,America/New_York,"Stafford, OH"
Free Union,VA,38.1539,-78.5594,America/New_York,"Free Union, VA"
Montaqua,MT,45.5072,-108.9087,America/Denver,"Montaqua, MT"
Bache,OK,34.8942,-95.6506,America/Chicago,"Bache, OK"
Pine Grove,OR,45.1135,-121.3553,America/Los_Angeles,"Pine Grove, OR"
Valmy,NV,40.7908,-117.1266,America/Los_Angeles,"Valmy, NV"
Folsom,NM,36.8478,-103.9176,America/Denver,"Folsom, NM"
Strawn,IL,40.6537,-88.3999,America/Chicago,"Strawn, IL"
Quamba,MN,45.9155,-93.1752,America/Chicago,"Quamba, MN"
Rainsburg,PA,39.8956,-78.5174,America/New_York,"Rainsburg, PA"
Rozel,KS,38.1954,-99.4032,America/Chicago,"Rozel, KS"
Conway,MI,45.4188,-84.8634,America/Detroit,"Conway, MI"
Hague,ND,46.0289,-99.9991,America/Chicago,"Hague, ND"
Manchester,OK,36.9945,-98.0351,America/Chicago,"Manchester, OK"
Segundo,CO,37.1225,-104.7395,America/Denver,"Segundo, CO"
Gratz,KY,38.4719,-84.9471,America/New_York,"Gratz, KY"
Whiteside,MO,39.1842,-91.0168,America/Chicago,"Whiteside, MO"
Turtle River,MN,47.5882,-94.7581,America/Chicago,"Turtle River, MN"
