,crs_dep_time,crs_arr_time,crs_elapsed_time,flights,distance,year,month,day,dep_time_of_day,arr_time_of_day,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier,orig_weather_categ_no weather data,orig_weather_categ_rain,orig_weather_categ_snow,orig_weather_categ_snow & rain,orig_weather_categ_sunny,dest_weather_categ_no weather data,dest_weather_categ_rain,dest_weather_categ_snow,dest_weather_categ_snow & rain,dest_weather_categ_sunny,orig_region_East-South Central,orig_region_Mid-Atlantic,orig_region_New England,orig_region_North-West,orig_region_Offshore Territory,orig_region_Pacific,orig_region_South-Atlantic,orig_region_South-West,orig_region_West-North Central,orig_region_West-South Central,dest_region_East-South Central,dest_region_Mid-Atlantic,dest_region_New England,dest_region_North-West,dest_region_Offshore Territory,dest_region_Pacific,dest_region_South-Atlantic,dest_region_South-West,dest_region_West-North Central,dest_region_West-South Central
24,1420,1510,50.0,1.0,93.0,2019,5,22,2,2,3.3659574468085105,-3.5,0.2486865148861646,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,2009,2120,71.0,1.0,258.0,2018,4,16,3,1,8.521739130434783,8.241379310344827,5.078223270440252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,530,654,84.0,1.0,282.0,2018,3,29,0,0,-7.8,0.8445945945945946,5.078223270440252,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,1845,2130,105.0,1.0,628.0,2019,5,18,3,1,5.15566037735849,7.986149584487535,3.9402271368798565,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,600,726,206.0,1.0,1235.0,2019,11,13,0,0,7.569148936170213,12.547231270358306,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
29,1330,1440,70.0,1.0,187.0,2019,1,31,2,2,4.371621621621622,5.1256830601092895,12.312328767123288,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,1935,2111,96.0,1.0,404.0,2019,5,13,3,1,20.82941176470588,-0.040169133192389,3.8531746031746033,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,1631,1756,85.0,1.0,364.0,2019,10,26,2,3,7.569148936170213,-5.454545454545454,5.078223270440252,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32,1219,1339,80.0,1.0,304.0,2019,2,13,2,2,-6.0,5.974789915966387,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,1907,2038,91.0,1.0,455.0,2019,9,9,3,3,10.992424242424242,3.0,8.24934929724102,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34,1355,1610,135.0,1.0,679.0,2019,4,12,2,2,3.3659574468085105,5.147465437788019,0.2486865148861646,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,1526,1656,90.0,1.0,290.0,2019,11,29,2,2,-2.4444444444444446,0.8445945945945946,5.078223270440252,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,1435,1533,58.0,1.0,157.0,2019,5,23,2,2,6.201438848920863,-4.086956521739131,5.078223270440252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
37,940,1135,235.0,1.0,1590.0,2019,8,6,0,0,2.3117647058823527,-2.1129943502824857,3.8531746031746033,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1809,1944,95.0,1.0,280.0,2018,3,23,3,3,13.46875,5.1256830601092895,5.078223270440252,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,905,1521,256.0,1.0,1874.0,2018,8,9,0,2,3.3659574468085105,1.1374407582938388,8.24934929724102,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,1200,1434,154.0,1.0,925.0,2019,12,2,2,2,4.889952153110048,6.31640625,8.24934929724102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,1243,1430,167.0,1.0,989.0,2018,7,11,2,2,7.569148936170213,-2.1129943502824857,3.8531746031746033,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
42,701,849,168.0,1.0,723.0,2018,12,28,0,0,1.8,6.31640625,5.078223270440252,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1805,2205,180.0,1.0,1208.0,2019,12,14,3,1,4.889952153110048,7.032258064516129,8.24934929724102,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
44,1711,1839,88.0,1.0,305.0,2019,1,28,3,3,7.386666666666667,1.1374407582938388,8.24934929724102,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45,1855,2015,80.0,1.0,436.0,2019,5,19,3,3,9.616279069767442,-2.0694444444444446,3.9402271368798565,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
46,2039,2350,131.0,1.0,731.0,2019,6,26,3,1,7.569148936170213,-0.040169133192389,5.078223270440252,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
47,1825,1945,80.0,1.0,387.0,2019,7,12,3,3,-2.6315789473684212,5.391891891891892,3.9402271368798565,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,710,946,96.0,1.0,484.0,2018,12,14,0,0,6.101010101010101,-0.040169133192389,3.8531746031746033,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
49,1533,1914,161.0,1.0,989.0,2018,9,11,2,3,-3.074829931972789,5.974789915966387,5.078223270440252,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
50,2130,2230,60.0,1.0,192.0,2018,6,26,1,1,4.889952153110048,-5.0,8.24934929724102,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
