,arr_delay
4368,-1.0
6785,-17.0
7401,11.0
1139,-9.0
7631,11.0
2231,-15.0
2164,-12.0
5217,-5.0
9444,-10.0
9237,11.0
4561,13.0
1570,-26.0
172,7.0
7163,53.0
2087,-17.0
4667,-1.0
4565,3.0
7089,-11.0
6569,-15.0
4783,1.0
2684,13.0
1832,-20.0
8546,13.0
5065,-3.0
9130,-24.0
9355,-16.0
4412,19.0
7207,4.0
9890,-3.0
834,-27.0
6821,45.0
3781,11.0
9012,6.0
7499,4.0
3424,-15.0
65,10.0
2963,-21.0
5669,-18.0
8962,-7.0
354,-6.0
8171,-29.0
4030,-11.0
8534,-25.0
3651,-9.0
6739,82.0
3297,-24.0
4127,-5.0
8043,28.0
4767,-15.0
472,-35.0
3761,-2.0
8617,82.0
3566,107.0
2760,15.0
868,13.0
9382,21.0
8688,-4.0
4052,-8.0
6130,-19.0
3244,0.0
4842,-10.0
9330,-19.0
5640,3.0
5780,4.0
8540,-18.0
1075,17.0
2957,22.0
6752,9.0
8657,12.0
7272,41.0
4759,-12.0
4862,3.0
7025,9.0
7647,1.0
7161,-19.0
73,0.0
4901,-21.0
4375,4.0
6698,12.0
9805,-19.0
1101,22.0
9537,5.0
7655,38.0
5235,-10.0
5165,-13.0
118,0.0
2022,-1.0
9885,-21.0
2638,-2.0
2034,64.0
2564,-18.0
8665,-4.0
3543,-1.0
1219,-7.0
9714,-12.0
6711,-15.0
2903,-13.0
3026,15.0
2510,-26.0
4201,-10.0
3207,-27.0
4489,-22.0
2755,43.0
8889,-13.0
177,10.0
1643,-8.0
9292,-21.0
3518,25.0
1374,26.0
1720,-30.0
3995,-8.0
3688,-16.0
2264,-9.0
87,-30.0
2848,-9.0
8687,-20.0
403,-24.0
9900,6.0
4077,-4.0
6835,-7.0
6537,-22.0
2456,-11.0
2751,0.0
2214,63.0
1027,-10.0
9703,-9.0
1421,10.0
2436,4.0
4277,4.0
9609,12.0
1278,109.0
6220,-16.0
4907,83.0
5064,25.0
1978,-34.0
1061,-24.0
5014,21.0
4535,2.0
6993,17.0
9253,1.0
1502,7.0
8568,-13.0
9314,-25.0
8836,15.0
8920,2.0
4918,-15.0
678,-21.0
5076,44.0
8064,0.0
7568,-23.0
102,-8.0
957,-21.0
8556,-14.0
3785,-6.0
9630,-15.0
7173,-15.0
4043,-36.0
2648,9.0
6000,-17.0
7927,-17.0
2826,7.0
4094,-9.0
7774,-10.0
9258,15.0
8113,-26.0
4772,-5.0
1947,275.0
6109,-7.0
2299,14.0
7844,31.0
4382,-15.0
5425,-3.0
6771,4.0
8578,-20.0
4291,-12.0
528,-17.0
1233,-23.0
779,-20.0
5859,0.0
3059,120.0
8587,-2.0
1860,23.0
8438,-16.0
7403,-9.0
4639,9.0
4250,-17.0
1992,-8.0
7379,-17.0
7305,-27.0
5303,-2.0
8192,-15.0
7447,-10.0
2471,-13.0
7197,-8.0
5312,-18.0
9035,8.0
1396,-9.0
4002,2.0
5371,-11.0
3235,-5.0
1042,12.0
3298,7.0
7256,0.0
257,-6.0
7286,17.0
8616,-19.0
7816,-9.0
5843,6.0
2089,-35.0
7702,-15.0
503,147.0
5265,-2.0
8814,202.0
1345,-10.0
8455,-10.0
5046,4.0
2248,-25.0
4981,69.0
372,-22.0
8454,0.0
3370,514.0
2006,-30.0
3656,40.0
8327,-2.0
7521,-20.0
4001,-17.0
6072,-9.0
8736,0.0
997,29.0
8179,18.0
3290,25.0
1176,57.0
551,17.0
744,-9.0
7223,-12.0
4554,-19.0
2859,-2.0
8820,-21.0
3459,-5.0
2724,-34.0
6847,-4.0
7615,-11.0
7547,-18.0
9174,-25.0
6393,-6.0
5358,9.0
9488,-18.0
2968,6.0
693,-1.0
2533,-13.0
6399,-8.0
982,30.0
5364,-5.0
79,15.0
4053,6.0
6258,10.0
9576,-13.0
9025,-2.0
3107,-5.0
3601,-5.0
6073,46.0
8126,66.0
2142,83.0
6310,-20.0
2268,19.0
445,42.0
4883,-5.0
4466,48.0
9026,-14.0
6632,-2.0
3316,-5.0
1701,107.0
2526,-1.0
68,12.0
1168,26.0
48,139.0
1053,6.0
4029,69.0
880,-25.0
2651,-12.0
7759,0.0
2439,-6.0
4924,0.0
1467,3.0
7292,-3.0
5035,-21.0
2441,-11.0
6554,-22.0
230,-9.0
1320,0.0
41,15.0
777,25.0
8950,-12.0
8404,-11.0
1729,-20.0
3910,44.0
579,-21.0
9941,47.0
5839,-2.0
8271,-15.0
7275,6.0
1491,-18.0
9109,0.0
5610,-4.0
61,-35.0
5471,0.0
3905,-25.0
6531,34.0
402,31.0
332,23.0
2084,-16.0
9557,5.0
164,-20.0
4379,-17.0
2715,59.0
8923,23.0
7346,-22.0
5453,-2.0
7046,-5.0
1334,5.0
8698,1.0
1659,-10.0
3578,-24.0
753,0.0
6584,-5.0
706,-8.0
3014,-8.0
8558,-13.0
9875,-7.0
9582,-18.0
8928,-5.0
9556,-12.0
8983,-26.0
1834,-15.0
2996,-25.0
5427,4.0
3879,-11.0
7156,-18.0
5081,-13.0
9114,-9.0
7244,-22.0
5400,-30.0
5395,-2.0
9427,-1.0
2246,-2.0
835,-21.0
8394,-6.0
9042,14.0
432,0.0
3378,-23.0
6817,-23.0
8131,-16.0
9621,9.0
6066,-13.0
1193,27.0
6934,-1.0
5461,-27.0
3071,-15.0
3044,-14.0
3263,26.0
2729,-5.0
3433,71.0
433,0.0
3272,-17.0
7001,6.0
9726,-26.0
104,-8.0
3315,-8.0
1656,21.0
1533,10.0
4680,11.0
8813,-12.0
9002,-7.0
6622,0.0
1443,-15.0
214,-11.0
5356,-32.0
9218,-13.0
6322,5.0
4989,-5.0
1419,9.0
9516,-9.0
8606,-26.0
181,-28.0
4352,152.0
8700,21.0
2446,16.0
5321,-3.0
8045,-3.0
5684,-4.0
3532,0.0
8244,-10.0
7976,5.0
3698,-7.0
70,51.0
544,-18.0
1204,-12.0
3078,21.0
9106,37.0
9120,-4.0
9680,-4.0
6180,-10.0
8329,1.0
4284,-13.0
4007,-19.0
8713,-9.0
877,7.0
8060,51.0
196,31.0
9746,-12.0
4010,-18.0
9962,-9.0
2571,-10.0
3753,0.0
9247,51.0
8628,-6.0
9368,-19.0
6159,-12.0
4791,177.0
5337,9.0
3024,-6.0
2718,59.0
8655,-32.0
6916,73.0
3984,-24.0
7308,-29.0
5953,14.0
3844,-14.0
2682,-3.0
4024,16.0
8715,37.0
3139,-19.0
4237,-4.0
218,86.0
6618,3.0
9606,-11.0
5268,143.0
2543,63.0
2870,-19.0
1244,-4.0
420,-2.0
6227,-13.0
2058,35.0
8493,0.0
6434,-18.0
3422,25.0
4510,-17.0
1166,28.0
254,-17.0
415,-4.0
9175,-10.0
3469,-10.0
3050,-22.0
759,-13.0
1385,-12.0
654,92.0
1201,-13.0
2413,5.0
5579,-10.0
5993,100.0
5294,244.0
3055,-22.0
2830,-17.0
2970,95.0
328,-17.0
4270,-27.0
5994,5.0
4392,-18.0
2063,10.0
8301,19.0
9013,-10.0
9329,18.0
5169,6.0
4429,-8.0
1281,1.0
3381,13.0
2636,125.0
3328,15.0
6436,-22.0
5018,-20.0
7324,0.0
3795,-23.0
2663,-22.0
8282,-21.0
1282,-13.0
4148,-17.0
1362,-32.0
1437,-1.0
9628,-8.0
3441,7.0
56,-9.0
4597,-7.0
8479,-25.0
5365,0.0
1844,-4.0
5515,-5.0
8573,-10.0
6263,1.0
2880,34.0
1743,10.0
8398,-6.0
4169,-2.0
5197,2.0
8993,-20.0
740,32.0
9066,-8.0
1624,-28.0
524,4.0
7999,-8.0
4419,-4.0
5426,-10.0
6689,1.0
7382,-6.0
435,0.0
2960,15.0
308,77.0
1565,-4.0
2631,12.0
5597,-29.0
9477,37.0
401,-20.0
3826,-34.0
881,24.0
3997,-20.0
7118,-11.0
3265,-11.0
8406,40.0
5009,-17.0
5736,-12.0
5554,56.0
288,-16.0
5564,-6.0
8324,-20.0
2623,0.0
8859,-12.0
476,36.0
8591,33.0
9713,0.0
6522,148.0
3111,-18.0
9470,-27.0
737,-32.0
3133,-19.0
8047,-2.0
6551,-16.0
5407,-16.0
5563,73.0
5328,-6.0
6718,-9.0
5118,-6.0
4619,-8.0
3689,-17.0
7716,91.0
1839,-4.0
1995,51.0
2399,-16.0
6510,-2.0
9356,1.0
4119,6.0
5894,-23.0
800,-14.0
8423,-5.0
7680,-33.0
1405,-21.0
5431,31.0
69,27.0
9543,-6.0
2759,-13.0
8294,-13.0
1586,7.0
6666,-17.0
8014,0.0
1074,103.0
3063,16.0
6487,-37.0
4705,-9.0
9069,-8.0
2603,19.0
7738,-16.0
1579,-14.0
5058,-3.0
5753,22.0
3548,5.0
409,9.0
4097,15.0
6461,-23.0
5601,-20.0
5231,2.0
3777,-3.0
2726,0.0
477,90.0
1329,79.0
4035,-7.0
9642,82.0
1777,-3.0
6096,-11.0
751,34.0
5792,0.0
4060,0.0
9041,-1.0
6030,131.0
5898,0.0
9338,-2.0
9160,-20.0
9996,0.0
5151,-18.0
468,-2.0
1545,-9.0
6311,-9.0
2683,18.0
8966,-11.0
6181,-13.0
1025,-12.0
5112,-2.0
8562,23.0
5368,-10.0
2354,-47.0
7278,0.0
3602,15.0
773,20.0
6773,-6.0
8809,-26.0
3382,8.0
641,0.0
4233,-21.0
3815,39.0
4104,-37.0
9925,-3.0
1108,-21.0
3527,-7.0
3495,-17.0
1420,-3.0
6923,0.0
3881,-9.0
8353,0.0
6245,-2.0
4938,-1.0
6798,114.0
7812,-6.0
1680,-6.0
6715,39.0
633,-10.0
2569,-7.0
7359,-13.0
2166,0.0
8169,-13.0
8845,-3.0
2825,67.0
4087,-12.0
6243,119.0
8364,110.0
3941,-7.0
9179,57.0
8075,-15.0
9195,104.0
4128,-18.0
1172,-6.0
8668,-5.0
4222,8.0
4834,-19.0
2576,-16.0
1989,2.0
6973,50.0
5836,3.0
4532,6.0
3209,-3.0
3855,17.0
2628,0.0
7803,39.0
1410,-43.0
8257,5.0
7386,8.0
4303,-8.0
6750,-12.0
6555,13.0
815,-12.0
2404,-8.0
5397,-20.0
9956,-29.0
2131,-13.0
1797,10.0
3090,17.0
4184,68.0
4564,-12.0
5030,0.0
8048,-10.0
122,-14.0
179,-11.0
9250,-7.0
8095,-17.0
6429,-5.0
9737,-2.0
4992,2.0
1157,37.0
9003,-11.0
1532,-34.0
8992,-30.0
7859,6.0
9110,10.0
1535,0.0
9259,-4.0
5517,-1.0
2605,16.0
6127,7.0
9141,-9.0
7458,-25.0
2177,-19.0
7990,-25.0
2351,-9.0
9177,-1.0
3502,-13.0
2134,-19.0
1480,7.0
2793,-10.0
4843,-11.0
9780,-19.0
9934,-15.0
4762,12.0
7191,-19.0
6041,-9.0
9636,185.0
3445,-36.0
8149,-4.0
7765,66.0
3620,-27.0
1952,-23.0
555,3.0
4264,60.0
1163,-3.0
1584,176.0
6151,-7.0
9720,-10.0
5837,-27.0
5261,-9.0
5239,88.0
7913,0.0
9162,-13.0
1598,26.0
7182,167.0
300,-2.0
9660,-29.0
6947,77.0
3794,-20.0
4572,-14.0
4335,2.0
2858,-22.0
5694,-15.0
3142,-23.0
1359,-6.0
4533,-30.0
9749,-3.0
5687,6.0
486,11.0
7836,-1.0
9554,-25.0
5900,49.0
8116,0.0
7362,-4.0
1152,-11.0
5382,-31.0
9741,-8.0
5424,1.0
8807,47.0
5186,-13.0
8409,-15.0
6189,-5.0
9702,-13.0
8269,-20.0
5314,111.0
9903,-5.0
665,-14.0
3353,-5.0
8851,1.0
8061,-8.0
642,-23.0
9242,28.0
176,20.0
6431,1.0
9910,-31.0
3438,-13.0
786,81.0
6391,85.0
9065,1.0
9927,-9.0
3202,-2.0
4803,-17.0
7835,-9.0
7940,-10.0
91,-4.0
5762,-16.0
9027,1.0
9504,-12.0
8237,1.0
1971,-17.0
2905,-10.0
530,15.0
3635,178.0
996,-24.0
5852,-31.0
4226,3.0
5616,-23.0
2312,-26.0
2154,7.0
5317,15.0
1427,54.0
8630,-8.0
6032,-8.0
4415,-4.0
8818,-11.0
3085,-8.0
7798,-28.0
9153,-3.0
8209,-16.0
9573,0.0
9534,-19.0
495,7.0
3749,-18.0
2321,-17.0
4267,-15.0
3405,-13.0
151,-15.0
7369,-6.0
694,-20.0
4417,2.0
5697,-29.0
1738,35.0
3001,0.0
167,1.0
6111,-18.0
4622,7.0
2865,141.0
8544,-15.0
4702,-9.0
2883,42.0
3031,1.0
8183,2.0
8980,-35.0
8528,-14.0
5681,-9.0
7209,31.0
5991,-5.0
2276,139.0
7132,75.0
5705,1.0
7998,-21.0
5292,-16.0
4304,-16.0
7445,-25.0
428,76.0
7068,-5.0
6364,2.0
4215,-23.0
426,-23.0
2223,90.0
100,-2.0
9244,-21.0
3307,-9.0
2762,-10.0
5857,-11.0
4738,-19.0
7092,-11.0
9632,-14.0
3286,8.0
7712,-13.0
7868,23.0
6067,-1.0
9235,-24.0
3577,-17.0
1465,-6.0
7675,12.0
2234,-4.0
1744,-14.0
9754,183.0
6094,-4.0
8781,6.0
9401,-2.0
8371,-17.0
5027,19.0
9234,3.0
3944,-14.0
6862,-16.0
5350,-27.0
9422,-5.0
2121,-14.0
4972,-21.0
8576,-4.0
3784,-17.0
6872,-18.0
916,0.0
9394,13.0
7252,-23.0
8012,-29.0
5821,-9.0
4403,-3.0
4863,-27.0
8515,40.0
5422,17.0
7733,-17.0
1203,7.0
3768,68.0
5357,-20.0
3852,-36.0
1926,1.0
3114,-27.0
2641,-14.0
7639,48.0
7360,5.0
8182,-8.0
7610,-6.0
2728,91.0
9597,4.0
4985,0.0
6846,62.0
7698,-27.0
4012,-7.0
2626,125.0
7238,-19.0
8255,-13.0
9565,-17.0
805,-4.0
4634,1.0
5247,3.0
5566,-22.0
5739,-24.0
5143,-2.0
8265,-13.0
4459,0.0
1242,11.0
6945,-2.0
5740,-16.0
5325,7.0
547,-4.0
3022,3.0
5761,4.0
4031,-3.0
26,1.0
4952,-9.0
5152,20.0
2508,-21.0
1433,-18.0
2582,-13.0
1302,7.0
5812,-30.0
7349,-20.0
5281,-18.0
6114,9.0
1221,31.0
7435,-3.0
2548,-30.0
750,3.0
437,-22.0
4371,-42.0
4448,25.0
2847,-28.0
1173,-14.0
7495,-12.0
2699,2.0
9888,-18.0
9506,-24.0
6395,178.0
2481,3.0
5456,0.0
8444,-10.0
2706,-16.0
4661,-9.0
326,-14.0
1039,-9.0
2637,-5.0
5022,-8.0
2499,1.0
1004,-8.0
2861,-3.0
3233,85.0
1870,-8.0
4245,102.0
6927,-21.0
8385,0.0
534,-33.0
9827,-30.0
7148,40.0
7365,-18.0
585,-8.0
9914,-13.0
3035,-10.0
4428,36.0
4089,-2.0
1703,12.0
4295,-14.0
5719,7.0
491,-29.0
6899,6.0
4353,-26.0
2836,-8.0
2266,2.0
7718,-13.0
9523,3.0
8022,-9.0
4707,-6.0
9843,-7.0
2900,-24.0
9618,-15.0
2944,9.0
1916,5.0
3185,-26.0
8626,-10.0
9434,45.0
7255,36.0
4246,-16.0
8615,-12.0
5146,7.0
8565,161.0
2518,69.0
397,5.0
1317,-26.0
4560,-10.0
121,50.0
2449,-7.0
8855,-7.0
8108,-14.0
1566,6.0
1984,7.0
4333,-10.0
7910,-5.0
9286,13.0
3918,-11.0
2173,-4.0
3283,-24.0
8495,-1.0
8584,-11.0
2333,-15.0
573,-16.0
3660,-14.0
9075,25.0
981,2.0
9370,-16.0
1407,73.0
535,76.0
4315,-7.0
4598,-18.0
8622,16.0
8758,-18.0
1434,-8.0
6994,-18.0
2579,-17.0
9403,-17.0
3269,34.0
9553,103.0
3838,7.0
1867,10.0
1454,24.0
1786,-11.0
9912,6.0
7095,-3.0
2521,-11.0
4439,0.0
1820,38.0
5615,22.0
2929,21.0
51,-4.0
4726,11.0
5716,-13.0
5465,-13.0
469,14.0
2629,-1.0
6513,-16.0
7467,83.0
3945,2.0
6204,24.0
4262,28.0
1858,-12.0
9532,0.0
865,-18.0
6390,-5.0
7212,-2.0
4921,21.0
8101,-15.0
4792,0.0
8854,-13.0
6250,6.0
5936,-3.0
425,-7.0
188,0.0
5629,-11.0
4359,-17.0
228,-10.0
7757,-5.0
7677,5.0
2741,26.0
1041,-12.0
4075,-20.0
9140,-27.0
6118,-5.0
6902,-12.0
471,-15.0
2921,39.0
1905,7.0
8876,-10.0
801,-14.0
1487,-6.0
8441,-9.0
227,13.0
7890,-22.0
1128,0.0
5070,-11.0
9166,-23.0
2208,-3.0
7993,-13.0
9842,13.0
6559,-13.0
9921,5.0
3153,1.0
4441,-22.0
7505,-7.0
8957,135.0
6215,2.0
9598,-26.0
2144,-11.0
7411,-8.0
8929,17.0
2374,-4.0
2577,-12.0
1632,-10.0
4832,-8.0
2298,-2.0
5033,44.0
156,-11.0
8046,4.0
6706,0.0
3349,-18.0
2879,-8.0
3413,2.0
7768,-12.0
4189,8.0
9610,82.0
9734,-13.0
7251,0.0
7613,-23.0
6919,-13.0
9681,-9.0
9671,-11.0
4794,39.0
5654,287.0
2495,13.0
7304,-18.0
2372,-4.0
4091,-12.0
9471,11.0
3461,-6.0
7006,-12.0
5391,220.0
7172,-3.0
5696,-36.0
5664,-7.0
4503,-14.0
2550,7.0
4715,-3.0
847,-19.0
3344,-12.0
938,11.0
4825,3.0
9693,-8.0
8863,-6.0
8610,-27.0
5354,21.0
5477,-15.0
9723,-4.0
756,-16.0
4750,65.0
2644,-16.0
4162,44.0
8648,-24.0
3165,-1.0
6497,-28.0
5987,-24.0
3873,17.0
7751,-15.0
6523,-13.0
3418,2.0
9904,28.0
2061,-3.0
549,-16.0
4453,11.0
2812,3.0
8777,-12.0
8995,12.0
2549,-2.0
6069,-19.0
3169,-7.0
7054,46.0
4828,26.0
9570,-16.0
1259,7.0
8712,44.0
3661,-19.0
7922,-11.0
1024,-24.0
4965,58.0
752,11.0
3942,-18.0
3710,0.0
9960,-9.0
1951,42.0
6314,-12.0
351,-32.0
1511,-34.0
4829,-18.0
9616,-10.0
3746,-6.0
5799,-8.0
701,-4.0
3693,-6.0
4614,12.0
7213,-5.0
561,-8.0
2318,-22.0
3098,-12.0
4838,-18.0
3150,-20.0
5608,19.0
4299,-4.0
4618,-4.0
4074,-12.0
3994,29.0
6373,896.0
6167,-5.0
1047,-9.0
2939,79.0
1808,49.0
3166,-6.0
414,-36.0
1340,17.0
9371,-33.0
7740,-14.0
5060,-13.0
4633,0.0
4609,-30.0
7366,-21.0
1469,44.0
1710,576.0
6270,-2.0
8732,10.0
