,arr_delay
2572,2.0
7536,2.0
6324,18.0
622,4.0
1681,-39.0
2126,-13.0
787,1.0
3332,0.0
7236,48.0
1092,-30.0
9103,-25.0
5020,-23.0
9353,3.0
5944,-16.0
3280,10.0
8186,24.0
2201,1.0
1160,-18.0
5581,22.0
3592,-17.0
3952,0.0
9691,6.0
6247,4.0
4153,0.0
478,-26.0
1352,-19.0
4309,-4.0
5698,-11.0
2647,16.0
8460,-18.0
8198,-9.0
7689,-5.0
9257,-20.0
2589,-26.0
1033,-10.0
4686,-43.0
5011,-15.0
2598,0.0
5819,10.0
4608,13.0
8470,-23.0
9040,17.0
7450,78.0
4671,1.0
5583,20.0
3717,-6.0
9327,-7.0
3928,-4.0
3617,13.0
1425,-20.0
9378,-26.0
2919,-33.0
3819,-18.0
1871,-9.0
5487,-32.0
480,-17.0
5972,-19.0
9600,3.0
2888,13.0
6686,17.0
6315,111.0
527,224.0
4129,-15.0
722,-3.0
5120,-17.0
4722,-31.0
220,-2.0
9188,-28.0
1935,-14.0
344,3.0
8332,2.0
9674,-3.0
4483,-25.0
9706,1.0
8486,143.0
9216,-1.0
6903,0.0
9154,-3.0
5960,2.0
7034,-5.0
6051,-12.0
2391,1.0
7181,-33.0
4328,-14.0
6452,5.0
1983,28.0
8246,33.0
1554,-13.0
4850,-26.0
9095,-21.0
9922,0.0
7532,0.0
6853,-8.0
4641,-24.0
2881,438.0
1677,-24.0
4885,-10.0
1964,733.0
901,32.0
7130,-10.0
3068,-2.0
2296,19.0
6237,-23.0
5862,-8.0
296,11.0
8778,-9.0
57,-6.0
7242,-10.0
4385,27.0
2984,-4.0
27,-20.0
4407,-1.0
9877,-17.0
2676,6.0
8545,-22.0
5262,-13.0
5841,-33.0
7021,-20.0
3248,-1.0
5667,-21.0
3884,-22.0
7663,-14.0
295,-15.0
3161,1.0
2580,-2.0
3870,-26.0
9210,-1.0
4404,71.0
6952,-8.0
648,-2.0
1370,11.0
9855,161.0
6992,12.0
5532,26.0
9620,-2.0
5708,3.0
4209,-14.0
681,11.0
434,14.0
9309,-25.0
4824,27.0
9761,23.0
3159,-7.0
1489,-14.0
2987,1.0
812,7.0
1882,-1.0
9267,-2.0
4936,-16.0
9935,-7.0
1940,9.0
3296,-16.0
3534,-10.0
4525,-7.0
3729,-17.0
7015,14.0
1612,6.0
1181,-1.0
1375,-18.0
9224,55.0
3946,14.0
7210,-16.0
5211,-6.0
63,-15.0
626,4.0
4421,-15.0
1669,-7.0
2112,-1.0
5804,18.0
9763,-5.0
4032,42.0
6545,3.0
7948,-13.0
84,-24.0
9180,-23.0
1462,11.0
2283,-9.0
2887,13.0
5834,25.0
684,-14.0
4469,-21.0
418,6.0
5228,-13.0
4253,-4.0
2709,-19.0
2357,-5.0
8059,13.0
1366,4.0
6277,-18.0
3916,-17.0
293,-4.0
2639,-5.0
9458,-20.0
1506,-18.0
9037,45.0
7393,-4.0
1634,-23.0
2457,5.0
9891,-13.0
5558,-35.0
9751,9.0
2300,-9.0
4537,56.0
2938,-19.0
1563,-6.0
5689,-27.0
8658,-12.0
7517,2.0
1979,-20.0
1883,148.0
3803,-20.0
438,4.0
4635,-18.0
4528,-4.0
4332,10.0
3573,-5.0
8741,-2.0
8911,-9.0
4817,17.0
6435,28.0
2986,-5.0
7838,125.0
704,-19.0
2280,-7.0
8734,-27.0
4147,5.0
5412,-8.0
373,-16.0
6405,1.0
9223,-12.0
2585,-12.0
1332,-27.0
9572,96.0
5282,-17.0
9131,-9.0
8315,-1.0
9809,9.0
1784,-9.0
3182,-31.0
494,-10.0
7363,-7.0
2860,-1.0
7929,-11.0
4041,-24.0
7178,-11.0
2897,44.0
366,-9.0
849,-1.0
7440,13.0
9454,5.0
4301,36.0
2653,-10.0
3503,-16.0
1541,9.0
4165,-18.0
8866,-7.0
322,-11.0
2031,-17.0
813,-20.0
8939,-19.0
9375,-8.0
1079,-7.0
2226,27.0
9136,-4.0
9531,161.0
2705,-7.0
6824,-7.0
7556,35.0
1164,16.0
3261,-13.0
4687,-13.0
1450,0.0
3862,10.0
6103,-1.0
9215,3.0
7120,37.0
6398,0.0
9588,-5.0
6214,0.0
9645,-10.0
5336,167.0
4056,-9.0
9511,-13.0
2999,-5.0
9024,14.0
1231,169.0
1514,-26.0
2313,5.0
1451,-30.0
5267,2.0
6131,9.0
8531,63.0
6464,7.0
838,-17.0
9915,-30.0
8261,9.0
6414,-24.0
8504,39.0
3567,-19.0
9264,-26.0
3087,-1.0
8643,1.0
1714,60.0
339,-14.0
9563,-6.0
5942,13.0
9869,8.0
8102,-7.0
8488,-16.0
588,2.0
3365,55.0
2670,-11.0
3589,-24.0
34,37.0
28,-5.0
8553,-11.0
8117,2.0
2170,6.0
8377,-17.0
5620,10.0
889,-7.0
6489,6.0
3322,-9.0
9396,-15.0
3514,-1.0
4420,-24.0
8351,-13.0
5361,-14.0
3733,25.0
9463,-13.0
7081,-19.0
1654,513.0
5032,55.0
223,1.0
8625,-9.0
6194,13.0
1590,0.0
5982,-16.0
3256,-2.0
6680,17.0
4770,-6.0
2181,-26.0
6803,-16.0
4913,-17.0
6786,-19.0
4789,-12.0
1209,-18.0
421,-6.0
8740,78.0
1706,-36.0
1158,-25.0
2306,-15.0
273,-11.0
171,0.0
3956,5.0
6696,-15.0
3188,-9.0
8132,-14.0
4808,-3.0
8083,-11.0
1564,97.0
1782,-14.0
843,17.0
9345,-1.0
4461,-19.0
904,-15.0
5911,-1.0
9950,-3.0
9297,10.0
1547,-25.0
2080,10.0
9881,-9.0
3985,-15.0
6389,-12.0
7579,46.0
9245,44.0
6567,-15.0
8206,0.0
3820,-20.0
2646,-23.0
4454,-18.0
7159,22.0
8221,39.0
8596,-5.0
9589,4.0
6071,44.0
2155,-12.0
6712,-32.0
3715,-11.0
4057,39.0
5952,34.0
3102,-16.0
558,14.0
4610,-5.0
6978,18.0
1436,-13.0
507,4.0
1869,5.0
755,7.0
5419,-10.0
4050,-4.0
8089,12.0
3836,-12.0
2118,-10.0
6152,2.0
7808,-5.0
501,98.0
6259,-16.0
9743,-23.0
1539,-10.0
6141,-13.0
1211,-24.0
9122,-12.0
672,-19.0
3377,-20.0
8783,-10.0
1464,-31.0
1192,-19.0
6984,4.0
1872,-3.0
3590,-5.0
6726,10.0
505,113.0
8118,-3.0
506,-15.0
9449,-18.0
7131,-15.0
4807,-14.0
7303,-10.0
1773,-29.0
6854,-9.0
4906,-25.0
797,66.0
8785,-11.0
7070,-5.0
2829,-3.0
9319,3.0
8737,-2.0
312,-6.0
746,1.0
3569,6.0
790,26.0
2476,843.0
9325,7.0
2570,-22.0
5286,60.0
5215,62.0
2163,26.0
6577,3.0
8449,28.0
380,-14.0
8508,-7.0
1292,-57.0
1912,46.0
599,-14.0
3892,-14.0
4141,-12.0
1652,3.0
5224,2.0
1893,-6.0
1944,4.0
3395,3.0
5479,-14.0
9769,-9.0
375,-19.0
1966,106.0
3957,90.0
7135,-11.0
7478,30.0
4505,-7.0
9580,139.0
5288,-17.0
1471,-13.0
3346,-4.0
6253,-21.0
2853,-6.0
8988,0.0
9775,-21.0
6459,-19.0
4062,2.0
5863,-11.0
4306,2.0
4877,11.0
7249,8.0
5273,-20.0
3990,-10.0
1049,1.0
6175,-15.0
6926,-10.0
7864,286.0
2035,-15.0
4039,-19.0
6875,-7.0
9354,0.0
1972,-3.0
5072,89.0
2099,13.0
1499,-15.0
9612,218.0
652,-13.0
170,-8.0
4085,-17.0
242,95.0
5710,-10.0
6972,-19.0
2756,38.0
6884,-12.0
5446,57.0
2076,33.0
4103,1.0
9559,52.0
7571,-4.0
9466,3.0
4894,-20.0
6692,-13.0
8054,-50.0
5389,-9.0
9373,102.0
8021,-31.0
8604,102.0
4480,12.0
8326,-8.0
4078,6.0
640,2.0
1270,-13.0
2778,37.0
9497,8.0
3861,-8.0
3480,-10.0
1534,-10.0
325,22.0
2338,-22.0
3980,-24.0
6877,-13.0
4054,-15.0
2237,-17.0
7106,-7.0
9668,61.0
4745,7.0
864,-39.0
6203,-16.0
5508,-10.0
7429,-26.0
371,-21.0
6296,-8.0
5551,30.0
5723,-6.0
5899,-13.0
9287,24.0
7871,19.0
2364,9.0
3213,84.0
911,0.0
9047,-18.0
9790,13.0
7289,-1.0
9958,-22.0
6536,43.0
9192,-8.0
1423,55.0
9807,1.0
479,-11.0
662,-16.0
4476,3.0
8982,-10.0
8077,-19.0
2988,0.0
1119,-13.0
2776,38.0
9835,33.0
5003,3.0
6649,-11.0
7254,-19.0
4427,-12.0
7431,-14.0
3981,-22.0
6351,-22.0
2893,-15.0
2669,14.0
3977,-12.0
5259,-10.0
279,0.0
6730,-19.0
6104,-23.0
7020,0.0
1694,-31.0
8912,-10.0
3479,-24.0
4416,153.0
7592,-3.0
6282,-13.0
5603,-6.0
8619,6.0
7780,44.0
4296,-30.0
4593,-18.0
4844,8.0
2209,17.0
7605,-18.0
5501,-9.0
184,-24.0
4800,-15.0
4845,-12.0
2350,31.0
553,-13.0
1397,-16.0
1384,10.0
9182,-20.0
9817,44.0
297,-18.0
443,-27.0
7338,4.0
2077,73.0
7815,2.0
2229,-2.0
2842,-15.0
2537,-7.0
8145,-14.0
9536,-8.0
6443,-24.0
3367,-11.0
4486,38.0
2578,-19.0
1131,0.0
4818,33.0
320,-2.0
1371,-32.0
4042,-10.0
9125,47.0
5145,-20.0
907,58.0
9426,19.0
3950,-20.0
6145,-7.0
8886,-4.0
6695,76.0
4977,-12.0
6092,-19.0
8408,-5.0
926,-28.0
6143,139.0
15,-12.0
143,-24.0
2363,-19.0
129,-6.0
1161,-6.0
7551,-18.0
6129,-15.0
4665,-16.0
5660,-3.0
6460,37.0
1876,48.0
2488,-10.0
5327,-17.0
9361,-8.0
1182,-10.0
6135,-28.0
6377,0.0
1170,-14.0
2182,9.0
3371,54.0
8040,32.0
1859,28.0
4860,-11.0
9255,-4.0
8345,-30.0
7347,-5.0
4864,-10.0
9886,-10.0
6388,-8.0
3121,0.0
387,9.0
7785,-23.0
1032,41.0
7852,22.0
5418,53.0
931,63.0
4019,-23.0
691,14.0
5298,-17.0
6658,0.0
829,-18.0
3498,-11.0
2081,14.0
9440,-11.0
44,16.0
3939,0.0
5257,22.0
8437,-16.0
4319,-26.0
2965,-26.0
3969,-26.0
1187,8.0
284,-10.0
8873,-9.0
4159,217.0
3092,9.0
4556,-19.0
4584,-1.0
4323,-24.0
5504,-13.0
7074,-29.0
3364,-12.0
8025,-1.0
3195,-11.0
8810,-19.0
969,7.0
3734,-17.0
925,-16.0
9496,-19.0
6451,-6.0
8797,48.0
2851,24.0
5180,18.0
6723,6.0
9322,13.0
7810,-2.0
4471,-14.0
5168,41.0
4348,-10.0
7903,-17.0
3626,0.0
1789,10.0
8293,-13.0
2059,17.0
4013,2.0
1902,-13.0
5573,-4.0
6925,-14.0
75,797.0
2345,-14.0
5484,-22.0
430,-31.0
4586,-5.0
8099,-5.0
8457,-8.0
8156,-7.0
7893,-24.0
1553,-27.0
240,-7.0
783,-9.0
3066,-35.0
977,8.0
2941,5.0
5377,-3.0
4730,-20.0
1620,4.0
2146,12.0
1801,-4.0
2095,50.0
6074,-46.0
5245,-17.0
1357,113.0
8063,40.0
6050,-15.0
8368,14.0
6017,-1.0
9931,-18.0
8769,-25.0
7503,-29.0
1609,-18.0
3096,-6.0
9771,52.0
2415,20.0
2017,16.0
6018,-4.0
4125,-9.0
9802,-6.0
3246,-2.0
124,-5.0
6425,68.0
5308,-2.0
7463,-22.0
9157,-18.0
3341,46.0
598,2.0
2123,4.0
9498,-13.0
7685,-7.0
7049,33.0
9661,-9.0
2197,34.0
4051,-14.0
6054,-12.0
3362,-8.0
6851,-20.0
725,1.0
4934,4.0
978,-17.0
808,64.0
9603,59.0
1475,-7.0
5935,-3.0
9036,-7.0
7335,-4.0
3962,-14.0
6422,-7.0
4905,-15.0
1235,-4.0
1225,44.0
8049,-17.0
9278,10.0
8671,-15.0
5229,-19.0
6950,-1.0
3217,-24.0
287,-4.0
5023,35.0
2966,4.0
3164,-40.0
6003,-3.0
8887,-8.0
1657,-1.0
1975,-3.0
2397,-15.0
452,-5.0
8030,14.0
4696,-24.0
3681,-10.0
422,-17.0
9725,-9.0
657,-3.0
3301,14.0
6394,-16.0
2845,5.0
8291,25.0
7497,97.0
1001,-14.0
4198,-12.0
2418,-5.0
7482,1.0
5706,-10.0
3847,6.0
961,-15.0
1580,2.0
5007,8.0
2206,179.0
6312,-10.0
9562,-12.0
4231,56.0
757,82.0
2284,-28.0
6663,-13.0
4755,-20.0
8211,-4.0
807,1.0
6575,89.0
7719,-23.0
1956,-16.0
2445,-14.0
5875,-4.0
8163,-16.0
6138,-37.0
2402,-3.0
1073,-5.0
6557,223.0
4240,17.0
8509,-4.0
2091,-19.0
4527,-11.0
7202,25.0
6795,-21.0
7237,-12.0
7422,-14.0
6849,-25.0
6836,-23.0
1003,-16.0
9099,6.0
6562,-11.0
5614,23.0
4651,21.0
5313,-15.0
1485,-13.0
7607,-16.0
1411,-21.0
9303,-18.0
709,-11.0
9806,6.0
8042,-4.0
7211,-24.0
3076,0.0
8314,-10.0
4101,9.0
5114,-14.0
2722,6.0
9359,35.0
1268,85.0
2462,0.0
5464,-15.0
268,-9.0
3580,-18.0
5349,8.0
7290,74.0
5157,33.0
6601,-8.0
2821,30.0
5807,-18.0
589,-22.0
5955,-28.0
5254,-3.0
6661,-16.0
7656,-6.0
8725,-18.0
6896,12.0
7594,-40.0
2028,-6.0
6818,-8.0
677,44.0
5763,-1.0
1232,8.0
5296,-11.0
7103,188.0
5034,-7.0
5452,-4.0
2432,0.0
6319,-15.0
6119,30.0
9158,-11.0
9953,65.0
896,-17.0
1611,-18.0
6474,24.0
7661,10.0
7460,-7.0
3806,-16.0
8273,9.0
9451,26.0
4701,0.0
3961,-10.0
5417,-10.0
890,43.0
4999,-6.0
7506,35.0
7881,-12.0
5095,-8.0
6932,-11.0
9617,-7.0
2799,15.0
584,-11.0
3268,10.0
3932,46.0
1260,-16.0
6205,17.0
310,-11.0
7789,36.0
6458,5.0
6206,-23.0
5882,-14.0
4668,-14.0
4298,-15.0
3783,45.0
1008,-24.0
8354,-8.0
2185,-3.0
3623,3.0
7039,-12.0
4922,2.0
9673,-12.0
7950,-19.0
6125,50.0
4756,-5.0
5074,22.0
90,0.0
5974,72.0
6418,-14.0
8640,48.0
8690,-4.0
2117,61.0
2937,-7.0
6842,-6.0
983,-8.0
7260,-2.0
9985,-13.0
2925,-1.0
6061,-20.0
3214,5.0
6447,4.0
6779,96.0
7038,-12.0
5663,69.0
627,-1.0
8008,-7.0
5125,19.0
4765,-2.0
8143,-19.0
9594,-4.0
1269,-13.0
128,-2.0
6112,13.0
1711,-8.0
7862,18.0
4235,51.0
5192,-15.0
2398,-23.0
5434,-48.0
6057,-5.0
9318,40.0
1186,-10.0
6013,-4.0
9793,-25.0
6014,-23.0
1977,-2.0
9887,-11.0
4247,8.0
7672,13.0
915,-1.0
1305,-9.0
5455,-2.0
3049,-10.0
9521,170.0
1273,15.0
8055,98.0
2796,86.0
1398,-2.0
3358,100.0
183,-14.0
6867,-11.0
5695,30.0
8835,-18.0
9626,1.0
6170,87.0
6987,-14.0
4567,-11.0
8955,-4.0
2656,-19.0
8309,-10.0
6857,-18.0
1961,-20.0
6383,-2.0
8853,62.0
9973,1.0
1251,-21.0
3176,-26.0
7760,-9.0
5013,-27.0
9705,135.0
6539,3.0
3289,16.0
6448,27.0
8726,-16.0
7611,-1.0
6275,-6.0
6887,19.0
1051,7.0
4069,-17.0
6022,-21.0
5552,-8.0
272,241.0
2042,-9.0
4763,-27.0
8997,102.0
5204,-11.0
9509,-12.0
1086,7.0
8373,-26.0
7732,1.0
7515,-23.0
6678,-9.0
4322,8.0
6946,60.0
7747,85.0
6772,-2.0
5518,63.0
5117,-2.0
6179,-21.0
4709,-13.0
8121,43.0
5969,-12.0
6784,-10.0
3478,68.0
8414,-20.0
3924,1.0
1748,-19.0
732,-4.0
2553,-12.0
5458,13.0
5873,-14.0
2662,-13.0
9398,-3.0
6455,-17.0
3113,26.0
3303,-26.0
1344,50.0
1690,-20.0
7180,5.0
6499,-18.0
3308,-19.0
1504,-13.0
1806,-17.0
8469,-17.0
5369,0.0
3791,3.0
9520,-4.0
7329,-13.0
5909,8.0
6825,-19.0
7263,125.0
1848,-2.0
4512,19.0
2431,-12.0
4660,-19.0
8885,-15.0
5584,11.0
142,-22.0
8760,36.0
9211,-13.0
5264,-1.0
3409,-26.0
1117,-10.0
1756,-40.0
497,-5.0
8031,100.0
870,20.0
3357,-1.0
912,-1.0
721,-19.0
2805,-6.0
9943,-9.0
886,-14.0
9592,-4.0
6587,15.0
8100,-6.0
1520,37.0
8689,-16.0
2746,-1.0
6700,-13.0
5775,64.0
314,95.0
1799,10.0
327,75.0
5642,-8.0
4204,59.0
3129,-11.0
6860,-15.0
9905,-18.0
3968,13.0
5743,-5.0
6226,17.0
1973,-17.0
336,-5.0
2764,-15.0
7660,0.0
275,12.0
2985,89.0
5646,-20.0
5849,-8.0
3477,-3.0
7558,-22.0
3558,-8.0
2809,-11.0
9113,-20.0
4861,-19.0
6586,-32.0
3416,33.0
307,-3.0
3908,-18.0
348,-18.0
826,-17.0
9501,-13.0
4482,-4.0
6576,37.0
3682,-12.0
5876,-5.0
8387,-13.0
2053,-4.0
71,-4.0
5507,35.0
8514,-6.0
7510,-10.0
8151,-1.0
1666,6.0
7861,-20.0
9159,0.0
5688,-17.0
1445,-2.0
5227,-7.0
6982,-33.0
1695,20.0
2892,-1.0
1574,8.0
3203,10.0
4405,-4.0
1630,-27.0
8380,-10.0
1881,183.0
8821,-26.0
6463,-1.0
848,-30.0
9923,32.0
6188,-1.0
5869,-16.0
2877,13.0
186,82.0
3779,1.0
1830,10.0
8325,8.0
9241,27.0
6378,-14.0
1234,15.0
6964,46.0
3915,6.0
446,-28.0
844,-4.0
8062,1.0
5402,-20.0
2440,304.0
3103,15.0
8585,83.0
6791,-5.0
5650,-16.0
1294,-6.0
5079,26.0
9016,9.0
5067,-13.0
3442,44.0
8451,34.0
7273,-4.0
6105,-21.0
776,-15.0
9716,-25.0
2153,7.0
4920,20.0
5360,39.0
9735,-4.0
5957,-28.0
8411,-1.0
8432,-4.0
3183,-16.0
6792,1.0
3199,-2.0
9369,2.0
1289,39.0
4581,0.0
6192,89.0
8935,-7.0
7149,50.0
9846,-5.0
4106,-20.0
4126,12.0
8300,39.0
3966,215.0
1879,-20.0
8496,0.0
9299,-4.0
6348,-7.0
3587,1.0
7372,-19.0
3865,-20.0
8487,-22.0
4131,-2.0
1036,-32.0
636,33.0
6153,-15.0
4134,12.0
5338,-10.0
1083,-17.0
861,-11.0
903,-9.0
191,0.0
109,2.0
4455,-6.0
1942,-1.0
5856,-19.0
4331,-22.0
8541,5.0
2040,24.0
7331,-10.0
7317,9.0
7779,-4.0
4659,16.0
7313,5.0
2775,-8.0
4145,40.0
2323,-19.0
762,-30.0
2617,-12.0
2411,-5.0
1094,0.0
6173,2.0
7048,24.0
9272,3.0
3135,28.0
7787,-5.0
5040,39.0
3805,-14.0
884,-13.0
2654,-8.0
5921,-32.0
6187,-25.0
8085,-18.0
6742,-18.0
7626,-14.0
5680,22.0
7007,775.0
9686,-5.0
2202,-14.0
6107,-11.0
6417,31.0
1262,-7.0
8379,-7.0
975,-1.0
5831,8.0
4925,-6.0
941,41.0
4723,-17.0
2387,-30.0
9728,-7.0
5021,-17.0
4391,24.0
5148,35.0
3221,1.0
3882,11.0
9438,-14.0
6624,11.0
5918,3.0
2789,-12.0
944,0.0
8908,3.0
1857,-18.0
9080,3.0
4108,9.0
8513,8.0
3255,0.0
2690,-41.0
9512,-13.0
6961,3.0
1319,-13.0
8882,-21.0
9880,-3.0
5162,-10.0
5829,14.0
7953,-13.0
5958,-27.0
9271,10.0
3475,55.0
3505,6.0
4749,72.0
2477,74.0
9490,-13.0
6615,23.0
7413,-1.0
7586,-13.0
5344,-17.0
9863,11.0
7111,23.0
1874,0.0
8516,8.0
5270,-23.0
5096,-8.0
2904,-4.0
570,-1.0
1448,-15.0
5964,56.0
6242,-6.0
6347,-16.0
7874,41.0
9816,22.0
3226,-24.0
9744,-7.0
3978,-34.0
4383,-5.0
7856,38.0
3539,-24.0
5682,4.0
2827,-12.0
7658,2.0
4996,-21.0
1338,126.0
3262,20.0
6386,-4.0
7951,-11.0
650,-6.0
2902,2.0
2258,-17.0
7402,-12.0
3521,-26.0
2730,-7.0
5496,-18.0
4478,-16.0
1596,-36.0
7066,-27.0
2584,46.0
5441,25.0
3196,-17.0
8523,-14.0
7682,49.0
5376,0.0
1258,-9.0
5277,15.0
991,18.0
3504,45.0
113,-18.0
919,11.0
2509,-14.0
9404,-23.0
165,8.0
5263,146.0
4603,-18.0
949,-5.0
4594,-19.0
5727,-9.0
3770,5.0
2506,115.0
5107,0.0
2850,-16.0
6485,-14.0
5362,7.0
7442,-5.0
4446,-7.0
4460,-9.0
9513,-16.0
2505,-19.0
1114,-21.0
8397,-4.0
298,-13.0
1675,-23.0
3347,-27.0
2735,131.0
7819,-19.0
4988,-24.0
9894,-15.0
5817,-8.0
4325,9.0
6719,3.0
8786,4.0
4550,0.0
8572,-7.0
7847,-13.0
2103,-8.0
5813,1.0
9104,47.0
7453,-8.0
1837,-18.0
7902,-7.0
8318,58.0
8723,-1.0
607,13.0
8374,-11.0
1093,-29.0
6387,-1.0
6505,-35.0
8964,-4.0
4487,9.0
160,-18.0
203,11.0
7040,-13.0
5893,-13.0
4933,-28.0
2934,-12.0
7322,-12.0
2435,-7.0
1230,-27.0
8675,-7.0
3046,22.0
9654,-11.0
8419,2.0
7666,-8.0
6407,0.0
4251,22.0
5577,163.0
3293,-14.0
4034,32.0
8112,-28.0
4290,33.0
4334,-16.0
5931,-14.0
3877,0.0
5428,-8.0
4753,-29.0
4886,-4.0
857,117.0
8233,-24.0
8375,-12.0
2561,-12.0
3801,-16.0
2640,-6.0
9663,-2.0
4490,-13.0
2347,1.0
649,-1.0
2781,2.0
5652,-21.0
8543,-6.0
8677,-5.0
6433,10.0
615,43.0
8448,16.0
2575,-17.0
53,-17.0
3340,-12.0
7037,-38.0
1705,-10.0
9060,-26.0
9352,44.0
1493,-23.0
9963,1.0
5632,12.0
803,3.0
4953,4.0
6933,18.0
7104,30.0
990,116.0
2774,6.0
7470,-13.0
6419,-11.0
3513,245.0
5478,-8.0
8400,4.0
219,-8.0
6969,-23.0
1288,-9.0
3163,-12.0
4678,-21.0
2618,28.0
3612,63.0
43,-12.0
8094,3.0
8372,29.0
3792,-15.0
3571,7.0
9980,-17.0
1503,1.0
5556,-7.0
9830,15.0
3439,-10.0
1892,7.0
9323,-9.0
5255,-13.0
1955,147.0
5167,13.0
4814,23.0
6264,-3.0
1505,277.0
670,4.0
8907,-16.0
7055,5.0
897,74.0
6178,0.0
2666,117.0
3193,1.0
2890,-15.0
7773,-2.0
2621,103.0
6008,12.0
5956,-1.0
2,8.0
2370,-3.0
7914,0.0
1769,13.0
8506,-19.0
6025,-20.0
531,66.0
8724,-18.0
8649,-15.0
7873,-9.0
8890,7.0
3120,1.0
9022,-27.0
731,-21.0
3406,-18.0
2339,-15.0
5967,-10.0
6580,-5.0
2565,-16.0
7726,-15.0
7820,-30.0
6713,87.0
6995,-4.0
6942,114.0
7794,205.0
8975,-24.0
1255,46.0
2104,7.0
6734,18.0
9778,0.0
6224,21.0
9150,18.0
4994,-8.0
8969,-8.0
6839,179.0
5057,7.0
5846,-19.0
4434,-19.0
3484,0.0
9493,-15.0
5318,-24.0
3816,-2.0
5729,-8.0
8903,-7.0
7840,-15.0
9889,44.0
1621,-13.0
9423,-15.0
6307,-9.0
9304,-9.0
8902,8.0
1096,114.0
8057,-9.0
9481,11.0
2463,1.0
8289,-22.0
1788,15.0
250,-18.0
9926,0.0
6191,1.0
9650,0.0
192,242.0
820,-16.0
9627,-1.0
5714,-6.0
7195,12.0
5715,11.0
4400,-16.0
9290,-5.0
5388,0.0
4166,-12.0
4951,-13.0
2687,-33.0
4390,-2.0
5860,6.0
5981,3.0
4927,-17.0
6735,107.0
2607,37.0
7466,24.0
238,4.0
4015,-4.0
9262,-24.0
2977,-16.0
5712,-13.0
9856,-28.0
5473,8.0
945,-10.0
8251,1.0
7681,-15.0
5097,4.0
6805,9.0
5803,10.0
3552,-16.0
9969,-8.0
3360,-26.0
8249,-10.0
2410,-27.0
4507,33.0
8462,23.0
3982,-10.0
146,-16.0
6648,7.0
2294,-19.0
2253,293.0
3611,-7.0
5353,-60.0
1736,-18.0
7915,-6.0
7659,7.0
114,21.0
8860,-15.0
5649,-16.0
9844,12.0
498,-14.0
7822,-9.0
720,-2.0
7258,-29.0
8843,15.0
5730,-8.0
3089,1.0
7226,126.0
7306,19.0
6508,8.0
596,1.0
9092,33.0
6095,-2.0
6053,108.0
5164,-2.0
1647,72.0
8167,-17.0
6920,8.0
2700,27.0
8203,13.0
1700,-9.0
8943,-36.0
5404,0.0
7219,24.0
7502,16.0
2942,20.0
6301,-12.0
86,-10.0
2308,-24.0
2677,-33.0
8216,-9.0
7729,-6.0
2594,77.0
5884,2.0
1029,32.0
136,111.0
6831,-39.0
7814,-7.0
2854,-13.0
4409,8.0
1200,48.0
4717,4.0
9517,172.0
6594,5.0
566,-13.0
7328,22.0
5430,7.0
3927,-19.0
6055,-9.0
7589,34.0
7122,-20.0
6572,-13.0
6535,62.0
8913,-25.0
8275,-36.0
2330,-14.0
3515,-12.0
2187,44.0
195,-9.0
7257,20.0
5666,21.0
5059,36.0
802,-6.0
8848,51.0
9928,-27.0
2068,-4.0
9082,-16.0
8744,0.0
644,-20.0
9374,28.0
5103,5.0
5460,-2.0
1637,48.0
120,31.0
2981,0.0
5069,-12.0
3074,-26.0
8927,-9.0
3278,-6.0
2135,-11.0
8941,-15.0
4970,-6.0
6195,9.0
134,-8.0
7731,-20.0
5324,-19.0
9640,-24.0
6160,-13.0
2559,-29.0
62,-5.0
1358,-17.0
6725,-21.0
2467,-14.0
679,-9.0
6797,39.0
741,-19.0
5307,-9.0
7627,-34.0
3641,-25.0
444,-18.0
8140,-24.0
3258,50.0
4663,-10.0
1873,-7.0
6366,331.0
2596,-21.0
1717,0.0
2912,-10.0
2843,-24.0
4027,-11.0
5488,58.0
8634,-13.0
8037,-13.0
9232,-12.0
489,-11.0
493,-9.0
690,-7.0
3821,-25.0
602,-7.0
1911,-1.0
1014,-7.0
6156,7.0
1993,-28.0
5769,11.0
3757,-11.0
2366,-12.0
5283,33.0
4370,-20.0
6883,16.0
7011,59.0
1361,457.0
8461,-5.0
1526,-14.0
1327,4.0
8507,9.0
9031,-7.0
1551,-8.0
7769,-21.0
9908,-9.0
1337,-7.0
3901,75.0
3010,-14.0
5041,5.0
8825,-18.0
2250,0.0
6533,-1.0
5039,-17.0
2346,-4.0
9282,-7.0
5485,6.0
2784,106.0
5119,58.0
7550,117.0
5555,-18.0
5599,-17.0
7630,9.0
150,-17.0
2804,91.0
5874,15.0
2086,70.0
3751,123.0
5612,-25.0
2259,-58.0
4017,15.0
6113,37.0
6058,0.0
2424,-9.0
8034,16.0
3856,12.0
859,-6.0
8170,6.0
7591,-18.0
8097,-2.0
7320,-1.0
8563,-24.0
4739,0.0
8594,-23.0
4462,-2.0
5528,88.0
1364,25.0
1779,-18.0
9221,-16.0
4785,52.0
6334,0.0
1818,1.0
7799,-44.0
4937,16.0
2704,-13.0
5285,-4.0
175,-28.0
7481,3.0
2093,-4.0
8750,9.0
3491,1.0
1920,-6.0
82,-36.0
816,-6.0
8601,-1.0
7354,33.0
4396,-13.0
9181,38.0
5568,-39.0
283,-11.0
4120,-13.0
7480,2.0
609,194.0
2915,0.0
