crs_dep_time,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,dep_time_of_day,arr_time_of_day,mean_arr_delay_orig_airport,mean_arr_delay_dest_airport,mean_arr_delay_carrier,year,month,day,orig_weather_categ_empty,orig_weather_categ_no weather data,orig_weather_categ_rain,orig_weather_categ_snow,orig_weather_categ_snow & rain,orig_weather_categ_sunny,dest_weather_categ_empty,dest_weather_categ_no weather data,dest_weather_categ_rain,dest_weather_categ_snow,dest_weather_categ_snow & rain,dest_weather_categ_sunny
1850,1843.0,56.0,1939.0,2031.0,4.0,2008,2035.0,0.0,0.0,78.0,112.0,52.0,1.0,303.0,2,3,11.076335877862595,30.0,8.433741351782864,2019,10,23,0,0,0,0,1,0,0,0,0,0,0,1
715,709.0,17.0,726.0,844.0,10.0,907,854.0,0.0,0.0,112.0,105.0,78.0,1.0,488.0,0,0,13.230392156862745,2.8728813559322033,3.8926503340757237,2019,5,5,0,0,1,0,0,0,0,0,0,0,0,1
1705,1749.0,13.0,1802.0,1824.0,12.0,1811,1836.0,0.0,0.0,126.0,107.0,82.0,1.0,528.0,2,3,1.2,6.559837728194726,8.433741351782864,2018,1,16,0,0,0,1,0,0,0,0,0,1,0,0
2357,2355.0,14.0,9.0,306.0,17.0,325,323.0,0.0,0.0,148.0,148.0,117.0,1.0,982.0,3,2,3.2956521739130435,-15.333333333333334,10.057142857142857,2018,11,29,0,0,0,0,0,1,0,0,0,0,0,1
1205,1155.0,11.0,1206.0,1318.0,7.0,1340,1325.0,0.0,0.0,95.0,90.0,72.0,1.0,376.0,1,1,6.285714285714286,1.1483253588516746,8.433741351782864,2019,5,25,0,0,0,0,0,1,0,0,0,0,0,1
2112,2124.0,14.0,2138.0,2.0,4.0,2,6.0,0.0,0.0,170.0,162.0,144.0,1.0,1065.0,3,2,3.2956521739130435,11.608910891089108,12.448753462603879,2018,2,3,0,0,0,0,0,0,0,0,0,0,0,1
1240,1238.0,12.0,1250.0,1445.0,6.0,1523,1451.0,0.0,0.0,343.0,313.0,295.0,1.0,2306.0,1,1,22.5,4.681632653061224,8.433741351782864,2019,9,19,0,0,0,0,0,1,0,0,0,0,0,0
1405,1358.0,18.0,1416.0,1439.0,13.0,1506,1452.0,0.0,0.0,121.0,114.0,83.0,1.0,610.0,1,1,11.520361990950226,6.486486486486487,3.8926503340757237,2018,7,12,0,0,0,0,0,1,0,0,1,0,0,0
1805,1801.0,14.0,1815.0,1846.0,4.0,1900,1850.0,0.0,0.0,55.0,49.0,31.0,1.0,140.0,2,3,6.291970802919708,-2.25,5.238848337388483,2018,1,9,0,0,0,0,0,1,0,0,0,0,0,0
1144,1143.0,11.0,1154.0,1442.0,9.0,1505,1451.0,0.0,0.0,141.0,128.0,108.0,1.0,846.0,0,1,1.3088235294117647,8.167138810198301,16.61875,2018,12,20,0,0,0,0,0,1,0,0,0,0,0,1
1836,2025.0,27.0,2052.0,2234.0,5.0,2056,2239.0,0.0,0.0,80.0,74.0,42.0,1.0,240.0,2,3,8.890721649484536,12.64,5.238848337388483,2019,9,30,0,0,0,0,0,1,0,0,0,0,0,1
1953,759.0,12.0,811.0,1020.0,6.0,2223,1026.0,0.0,0.0,150.0,147.0,129.0,1.0,861.0,2,2,20.952662721893493,9.715909090909092,10.057142857142857,2019,7,17,0,0,1,0,0,0,0,0,1,0,0,0
1720,1722.0,29.0,1751.0,2000.0,11.0,2003,2011.0,0.0,0.0,163.0,169.0,129.0,1.0,937.0,2,3,20.952662721893493,11.608910891089108,8.433741351782864,2018,5,14,0,0,1,0,0,0,0,0,1,0,0,0
