fl_date,city,count,weather_categ
2018-11-14,"Chicago, IL",4,sunny
2019-12-16,"Atlanta, GA",4,cloudy
2018-03-14,"New York, NY",4,cloudy
2018-06-10,"Newark, NJ",4,rain
2018-01-23,"Chicago, IL",4,cloudy
2018-02-07,"Chicago, IL",4,snow
2019-03-19,"Dallas/Fort Worth, TX",4,sunny
2018-10-01,"Dallas/Fort Worth, TX",4,rain
2018-10-01,"Chicago, IL",4,rain
2018-06-12,"Atlanta, GA",4,rain
2019-11-14,"Seattle, WA",4,cloudy
2018-02-06,"Washington, DC",4,sunny
2019-03-19,"New Orleans, LA",4,sunny
2019-08-28,"Salt Lake City, UT",4,sunny
2019-08-20,"New York, NY",4,sunny
2019-09-23,"Atlanta, GA",4,sunny
2018-09-23,"Atlanta, GA",4,sunny
2018-07-19,"Atlanta, GA",4,rain
2019-08-03,"Chicago, IL",4,sunny
2018-04-13,"Chicago, IL",4,rain
2019-04-19,"Denver, CO",4,sunny
2018-12-03,"Chicago, IL",4,snow
2018-10-05,"New York, NY",4,sunny
2018-12-23,"Atlanta, GA",4,cloudy
2019-06-25,"Chicago, IL",4,rain
2019-04-04,"Dallas/Fort Worth, TX",4,rain
2018-01-08,"Atlanta, GA",4,rain
2019-12-11,"Charlotte, NC",4,rain
2018-02-14,"Atlanta, GA",4,cloudy
2018-05-08,"Los Angeles, CA",4,sunny
2019-04-14,"Atlanta, GA",4,rain
2019-03-11,"Chicago, IL",4,sunny
2019-09-30,"Chicago, IL",4,sunny
2018-04-11,"Denver, CO",4,sunny
2019-12-29,"Atlanta, GA",4,rain
2019-12-09,"New York, NY",4,rain
2018-05-09,"Chicago, IL",4,rain
2019-05-27,"Baltimore, MD",4,sunny
2019-06-27,"Atlanta, GA",4,rain
2018-07-19,"Boston, MA",4,sunny
2019-06-19,"Chicago, IL",4,rain
2019-03-05,"Dallas/Fort Worth, TX",4,sunny
2018-02-12,"Atlanta, GA",4,rain
2019-04-14,"Dallas/Fort Worth, TX",4,sunny
2018-05-04,"Charlotte, NC",4,sunny
2019-10-18,"Atlanta, GA",4,sunny
2018-02-12,"Chicago, IL",4,sunny
2019-04-06,"Chicago, IL",4,cloudy
2019-12-10,"Atlanta, GA",4,rain
2019-01-27,"Boston, MA",4,sunny
2019-08-01,"New York, NY",4,sunny
2019-04-17,"Detroit, MI",4,rain
2019-10-20,"Dallas/Fort Worth, TX",4,rain
2018-07-16,"Atlanta, GA",4,rain
2019-08-04,"Phoenix, AZ",4,sunny
2019-04-17,"Chicago, IL",4,rain
2018-04-12,"Denver, CO",4,sunny
2019-10-24,"Chicago, IL",4,cloudy
2018-04-12,"Chicago, IL",4,rain
2019-05-27,"Raleigh/Durham, NC",4,sunny
2019-04-07,"Denver, CO",4,sunny
2019-04-15,"Chicago, IL",4,sunny
2019-08-04,"San Francisco, CA",4,cloudy
2018-12-10,"Chicago, IL",4,sunny
2019-06-16,"Chicago, IL",4,rain
2019-08-06,"Atlanta, GA",4,cloudy
2018-06-27,"Chicago, IL",3,rain
2019-11-30,"Dallas/Fort Worth, TX",3,rain
2019-07-25,"New York, NY",3,sunny
2019-08-19,"Seattle, WA",3,cloudy
2019-01-15,"Atlanta, GA",3,cloudy
2019-11-30,"Denver, CO",3,cloudy
2018-10-16,"New York, NY",3,sunny
2019-03-19,"Charlotte, NC",3,sunny
2019-08-20,"Atlanta, GA",3,rain
2019-08-18,"Denver, CO",3,sunny
2019-08-18,"Atlanta, GA",3,sunny
2018-06-24,"Los Angeles, CA",3,cloudy
2019-05-26,"Denver, CO",3,rain
2018-03-01,"Philadelphia, PA",3,rain
2018-06-26,"New York, NY",3,sunny
2018-06-26,"Charlotte, NC",3,rain
2019-07-28,"Houston, TX",3,rain
2018-07-21,"Denver, CO",3,sunny
2018-06-25,"Atlanta, GA",3,rain
2018-07-21,"Los Angeles, CA",3,sunny
2018-06-24,"Orlando, FL",3,rain
2018-03-02,"Washington, DC",3,cloudy
2018-03-01,"Detroit, MI",3,snow & rain
2018-03-03,"Atlanta, GA",3,sunny
2018-06-26,"San Diego, CA",3,sunny
2018-03-01,"Chicago, IL",3,rain
2019-05-13,"Las Vegas, NV",3,sunny
2018-10-14,"Atlanta, GA",3,cloudy
2019-08-18,"Las Vegas, NV",3,sunny
2018-07-29,"Newark, NJ",3,sunny
2018-10-16,"Las Vegas, NV",3,sunny
2019-05-22,"Washington, DC",3,sunny
2019-05-26,"Philadelphia, PA",3,rain
2018-06-19,"Chicago, IL",3,rain
2018-02-11,"Las Vegas, NV",3,sunny
2019-03-09,"San Diego, CA",3,cloudy
2018-02-11,"Denver, CO",3,sunny
2019-12-05,"Washington, DC",3,sunny
2019-07-30,"Atlanta, GA",3,rain
2019-01-28,"Houston, TX",3,rain
2019-01-13,"Atlanta, GA",3,rain
2019-07-29,"Washington, DC",3,sunny
2018-03-06,"New York, NY",3,cloudy
2019-05-09,"Tampa, FL",3,rain
2018-10-15,"Chicago, IL",3,rain
2018-03-06,"Raleigh/Durham, NC",3,rain
2019-12-01,"New York, NY",3,snow & rain
2019-08-22,"Washington, DC",3,rain
2019-01-28,"New York, NY",3,sunny
2018-11-07,"Las Vegas, NV",3,sunny
2018-07-25,"Denver, CO",3,rain
2019-01-12,"Fort Lauderdale, FL",3,cloudy
2018-07-25,"Houston, TX",3,sunny
2018-06-18,"Denver, CO",3,rain
2019-07-24,"Atlanta, GA",3,cloudy
2019-08-22,"New York, NY",3,cloudy
2019-12-02,"Las Vegas, NV",3,sunny
2019-11-15,"Chicago, IL",3,sunny
2019-05-10,"Denver, CO",3,cloudy
2019-03-19,"Houston, TX",3,sunny
2019-03-19,"Las Vegas, NV",3,sunny
2019-07-25,"Charlotte, NC",3,sunny
2018-03-04,"Minneapolis, MN",3,rain
2018-06-23,"Atlanta, GA",3,rain
2019-08-17,"Denver, CO",3,rain
2019-05-11,"Chicago, IL",3,rain
2019-01-14,"Atlanta, GA",3,cloudy
2019-07-30,"Minneapolis, MN",3,sunny
2018-06-21,"Minneapolis, MN",3,cloudy
2019-05-27,"Houston, TX",3,cloudy
2018-03-05,"Dallas/Fort Worth, TX",3,cloudy
2019-08-21,"Houston, TX",3,sunny
2019-05-28,"Chicago, IL",3,cloudy
2018-03-05,"Oklahoma City, OK",3,sunny
2018-06-20,"Dallas/Fort Worth, TX",3,rain
2018-07-23,"Chicago, IL",3,cloudy
2019-08-22,"Boston, MA",3,cloudy
2019-12-01,"Chicago, IL",3,rain
2018-07-25,"Los Angeles, CA",3,sunny
2018-07-23,"Los Angeles, CA",3,sunny
2019-07-28,"Charlotte, NC",3,sunny
2019-03-16,"New York, NY",3,sunny
2018-07-26,"Denver, CO",3,rain
2019-03-16,"Tampa, FL",3,cloudy
2018-07-09,"San Jose, CA",3,sunny
2019-08-09,"Chicago, IL",3,sunny
2019-11-24,"Chicago, IL",3,cloudy
2018-02-09,"Atlanta, GA",3,sunny
2018-03-08,"Atlanta, GA",3,sunny
2019-03-13,"New York, NY",3,sunny
2018-07-27,"Atlanta, GA",3,sunny
2018-02-15,"Charlotte, NC",3,cloudy
2018-07-17,"Dallas/Fort Worth, TX",3,sunny
2019-01-22,"Dallas/Fort Worth, TX",3,rain
2018-10-25,"Charlotte, NC",3,cloudy
2018-10-12,"Washington, DC",3,sunny
2019-05-28,"Washington, DC",3,rain
2019-08-04,"Houston, TX",3,rain
2018-07-08,"Phoenix, AZ",3,sunny
2018-02-21,"Los Angeles, CA",3,sunny
2019-01-26,"Houston, TX",3,cloudy
2019-11-28,"Chicago, IL",3,cloudy
2019-08-03,"Las Vegas, NV",3,sunny
2018-07-08,"Orlando, FL",3,rain
2018-07-08,"Louisville, KY",3,sunny
2018-02-21,"Salt Lake City, UT",3,cloudy
2018-07-08,"Chicago, IL",3,sunny
2018-07-09,"Washington, DC",3,sunny
2018-07-10,"New York, NY",3,sunny
2018-07-17,"Atlanta, GA",3,rain
2018-07-12,"Los Angeles, CA",3,sunny
2019-03-12,"Chicago, IL",3,rain
2018-02-09,"Chicago, IL",3,snow
2019-01-24,"Philadelphia, PA",3,rain
2019-08-07,"Denver, CO",3,sunny
2019-03-12,"Minneapolis, MN",3,rain
2018-10-22,"Dallas/Fort Worth, TX",3,cloudy
2018-02-09,"Charlotte, NC",3,sunny
2018-02-18,"Houston, TX",3,cloudy
2018-07-16,"Cincinnati, OH",3,rain
2019-03-12,"Philadelphia, PA",3,sunny
2018-07-12,"Detroit, MI",3,sunny
2018-10-23,"Houston, TX",3,rain
2019-08-07,"Washington, DC",3,rain
2019-05-22,"Minneapolis, MN",3,rain
2019-01-25,"New York, NY",3,sunny
2019-08-08,"Chicago, IL",3,rain
2018-02-19,"Dallas/Fort Worth, TX",3,rain
2019-08-08,"Houston, TX",3,cloudy
2019-07-27,"Chicago, IL",3,rain
2018-07-11,"Chicago, IL",3,sunny
2018-07-16,"Washington, DC",3,rain
2018-10-13,"Chicago, IL",3,sunny
2019-05-20,"New York, NY",3,sunny
2019-03-08,"Chicago, IL",3,cloudy
2019-05-20,"Detroit, MI",3,cloudy
2019-08-15,"Orlando, FL",3,rain
2019-03-16,"Chicago, IL",3,cloudy
