dest,mean_arr_delay_dest_airport
TUS,4.478260869565218
TVC,4.2
TWF,-2.5
TYR,41.0
TYS,-4.423076923076923
UIN,2.0
USA,2.5
VLD,0.0
VPS,17.625
WRG,-8.0
XNA,64.53333333333333
YAK,-14.5
YUM,3.3333333333333335
