mkt_unique_carrier,mean_arr_delay_carrier
AA,5.078223270440252
AS,0.2486865148861646
B6,12.312328767123288
DL,3.8531746031746033
F9,16.312883435582823
G4,6.519685039370079
HA,1.0377358490566038
NK,9.975708502024291
UA,8.24934929724102
VX,-8.6
WN,3.9402271368798565
